Activities,City,Complete Name,Country
,Panchkula,HARYANA STATE INDUSTRIAL AND INFRASTRUCTURE DEV._x000D_,India
,Rewari,HARYANA STEEL,India
,New Delhi,HDFC BANK LTD,India
,New Delhi,HEAT WATT ELECTRICALS,India
,New Delhi,HELLOJI HOLIDAYS PRIVATE LIMITED,India
,Faridabad,HENU INDUSTRIES,India
,Palwal,HFC India Private Limited,India
,Ahmedabad,HGR LOGISTICS PVT. LTD,India
,Manesar,HI TECH POWER SYSTEMS,India
,Meerpur,HIM IMPERIAL AUTO GLASS WORKS,India
,New Delhi,HIMAL SUPPLY INDIA PVT LTD,India
,Gurgaon,HIMGIRI AUTOMOBILES PVT LTD.,India
,Bawal,HKS HARDWARE & ELECTRICAL,India
,New Delhi,HN ENTERPRISES,India
,Dharuhera,HORIZON INDUSTRIAL SOLUTIONS,India
,New Delhi,HOT BELT INDUSTRIES,India
,Bawal,HSIIDC Ltd.,India
,New Delhi,Harichand Sudarshan Kumar,India
,Rewari,Haryana  Gas Service,India
,Gurgaon,Haveli Ram Bansi Lal,India
,Rewari,Himani Communcation & Generator,India
,Bawal,Hotel Green Orch ( Bawal ),India
,Panchkula,IDEA CELLULAR LIMITIED,India
,New Delhi,IJS Electronics,India
,Bengaluru,IMPACT SAFETY GLASS WORKS PVT LTD,India
,New Delhi,INDIAN PRESS SHARING MACHINE,India
,Neemrana,INDO TECH COMPANY,India
,Bawal,INDUSTRIAL TOOLS AND FABRICATION WORKS,India
,Faridabad,INFINITI RETAIL LTD,India
,New Delhi,INSAT EQUIPMENT INDIA PVT LTD,India
,Pune,INTERSTATE CARRIER - PUNE,India
,Pune,INTERSTATE TRANSPORT CORPORATION,India
,Manesar,ISHMAN AUTO ELECTRICP. LTD. (HARYANA),India
,New Delhi,ISHMAN AUTOELECTRIC PVT. LTD. UNIT-2 (DELHI),India
,New Delhi,ISHMAN COMPONENTS LLP- DELHI,India
,Manesar,ISHMAN COPONENTS LLP ( UNIT -2)- HARYANA,India
,Bawal,ISHWAR ROADLINES,India
,Gurgaon,Indokote Industries,India
,New Delhi,Infinity Cars - New Delhi,India
,Bhiwadi,Innovative Resins (P) Ltd.,India
,Manesar,International Centre for Automotive Technology,India
,Gurgaon,J B S Steels Pvt. Ltd.,India
,Rohtak,J.C.Fasteners Ltd.,India
,Rewari,J.D Hose & Engg. Works,India
,New Delhi,J.N. GOPAL & CO. PVT. LTD.,India
,Bawal,J.P. REFRIGERATION & ELECTRICAL WORK,India
,Bawal,JAGDAMBA ROLLING SHUTTER,India
,New Delhi,JAI SATYA LIGHTING,India
,Faridabad,JAI SHREE LAXMI ENTERPRISES,India
,Bawal,JAI SHREE SHYAM ENTERPRISES,India
,Mumbai,JAV TRADING COMPANY,India
,Bawal,JAY BHOLA-CONT_x000D_,India
,Faridabad,JAY KAY COMPUTER,India
,Bawal,JAY KUMAR -CONT_x000D_,India
,Bawal,JAY MISHRA -CONT_x000D_,India
,Bawal,JAY VEER-CONT_x000D_,India
,Bawal,JAYARAM PARIDA- CONTRACTOR,India
,Bilaspur,JINDAL STAINLESS LIMITED PATHREDI,India
,Gurgaon,JIO DIGITAL LIFE A/C NO 90032079462,India
,Bawal,JITENDER KUMAR YADAV - CONT.,India
,Bawal,JITENDER-CONT_x000D_,India
,New Delhi,JK SAHIL AGGARWAL,India
,Rewari,JMD Traders,India
,Mohali,JP PAINTING SERVICE,India
,Manesar,JPS RESIDENCY AND HOSPITALITY SERVICES,India
,Ambala,JS Automotives,India
,Bawal,JUGALKISHOR-CONT_x000D_,India
,Manesar,Jagdamba Fabricators,India
,Rewari,Jain Hardware & Electric Store,India
,New Delhi,Jaspal Trailer Works,India
,New Delhi,Jawahar Steel Industries,India
,Jaipur,K P ENGINEERS,India
,Bawal,K S CRANE SERVICE,India
,Bawal,KABIR-CONT_x000D_,India
,Rewari,KAILASH FURNITURE,India
,Dharuhera,KAMAL ELECTRICALS,India
,Bawal,KAMLESH KUMAR_x000D_,India
,Bawal,KAMLESH SHARMA_x000D_,India
,Bawal,KAMRUDIN -CONT_x000D_,India
,Samrala,KANG PROFILES,India
,Bawal,KANHA ENGINEERING PVT LTD,India
,Bawal,KAPOOR & SONS,India
,Bawal,KARAN KUMAR (CONT.),India
,Noida,KD ENTERPRISES,India
,Pune,KETKI DIES & TOOLS PVT. LTD.,India
,New Delhi,KHANDELWAL & CO.,India
,New Delhi,KHATTAR MACHINERY STORE,India
,Bawal,KHURSHID (CONT.),India
,Khushkhera,KHUSHI ENTERPRISES,India
,Bawal,KISHAN HARDWARE_x000D_,India
,Gurgaon,KONARAK SALES CORPORATION,India
,Rewari,KRISHANA ENTERPRISES,India
,Bawal,KRISHNA UDYOG,India
,Bawal,KRITESH-CONT_x000D_,India
,Bawal,KUMAR ELECTRICAL WORKS ( SUTHANA ),India
,Bhiwadi,KUMAR ELECTRICALS,India
,Gurgaon,KUMON INDIA EDUCATION PVT LTD,India
,Bawal,Kapil Dev  ( Contractor ),India
,New Delhi,Keyman Locking Devices,India
,New Delhi,Kiran Roadways {P} Ltd.,India
,Bawal,Kk Electrical Works,India
,Gurgaon,Kold-King,India
,Gurgaon,Koolmax International,India
,Faridabad,Krishna Abrasives Co.,India
,Gurgaon,Krishna Engineering,India
,Rewari,L V INDUSTRIAL SOLUTIONS,India
,Bawal,LALIT SAHNI_x000D_,India
,Bawal,LAMBA ENTERPRISES,India
,Ghaziabad,LANDMARK CRAFTS PVT. LTD.,India
,New Delhi,LASER CUTTING WORK,India
,Bawal,LASER-CUT SOLUTIONS,India
,Noida,LEGERO LIGHTING IND PVT LTD,India
,Bawal,LIBERTY GENERAL INSURANCE LIMITED,India
,Bawal,LOKESH-CONT_x000D_,India
,New Delhi,LUXERON PRIVATE LIMITED,India
,Rewari,LUXMI ROLLING SHUTTERS,India
,Gurgaon,Light Power Control,India
,Bhiwadi,Linde India Limited,India
,Rohtak,M G MOTORS,India
,Haridwar,M K ENTERPRISES,India
,Manesar,M R ENTERPRISES,India
,New Delhi,M. K. Sanitary & Hardware Store,India
,Bawal,M.L.Engineering Works,India
,New Delhi,M.R. Malhotra & Co.,India
,Faridabad,M.V. TRADERS,India
,Rewari,M/S DHARAM BHATTA CO.,India
,Bawal,M/S RAJ TRANSPORT COMPANY,India
,Bawal,M/S Sherawat Technologies,India
,Bawal,M/s Dalip Service Station,India
,Sonipat,M/s Kansal Colour Roofings India (P) Ltd.,India
,Pune,M/s PREMIUM LIFESTYLE AND FASHION INDIA PUNE,India
,Bawal,M/s Parvati Cement & Marble Store,India
,Rewari,M/s R.K Tiles & Satitary Shoppe,India
,New Delhi,M/s Shyam Lal Anil Kumar,India
,Rewari,MAHADEV TRADING COMPANY,India
,Mumbai,MAHARASHTRA PIPE DISTRIBUTOR,India
,New Delhi,MAHAVIR STEELS,India
,Bawal,MAHENDER SINGH _x000D_,India
,Bawal,MAHENDER-CONT_x000D_,India
,Bawal,MAHESH CHAND,India
,Bawal,MAHESH CONTRACTOR (HASANPUR),India
,Bawal,MAHESH SIHNA-CONT_x000D_,India
,Bawal,MAHESH SINGH(PAINT CONT),India
,Bawal,MAHESH-CONT_x000D_,India
,Bawal,MAHIPAL SINGH BOCHALYA ( CONT ),India
,New Delhi,MAKINOTECH ENGINEERS,India
,Pune,MALHAR INFRA ENGINEERING,India
,New Delhi,MANGLA  HOISTS PVT LTD,India
,Bawal,MANISH DIWAN_x000D_,India
,Bawal,MANISH KUMAR,India
,New Delhi,MANISH KUMAR - CA,India
,Bawal,MANISH-CONT_x000D_,India
,Bawal,MANJIT MISHRA_x000D_,India
,Bawal,MANJIT PANDEY_x000D_,India
,Bawal,MANOJ PANDEY _x000D_,India
,Bawal,MANOJ PANDIT _x000D_,India
,Bawal,MANU-CONT_x000D_,India
,New Delhi,MANUMIT AUTOMATON LLP,India
,Matoda,MARVEL GLASS PVT LTD,India
,New Delhi,MASTRA INC,India
,New Delhi,MATRIX CAR DECOR,India
,Manesar,MAXBROS VENTURES INDIA LTD,India
,Bawal,MAYANK TRADING COMPANY,India
,Bawal,MEHARBAN SAFFI -  CONTRACTOR  OLD,India
,Bawal,MEHTAB KHAN - CONT.,India
,Noida,MEKTRONIXS TECHNOLOGIES PRIVATE LIMITED,India
,New Delhi,METAL WORLD-OTHERS,India
,New Delhi,METALTECH INDIA PVT. LTD.- DELHI,India
,New Delhi,METALTECH MOTORS PVT. LTD.,India
,New Delhi,METALTECH MOTORS PVT. LTD. HO SALE\PUR,India
,Faridabad,MGRN INDIA CORPORATION,India
,Bawal,MIKESH GUPTA-CONT_x000D_,India
,Bawal,MIKU SINGH _x000D_,India
,Bawal,MIRTUNJAY CARRIER_x000D_,India
,Bawal,MIRTUNJAY KUMAR_x000D_,India
,Pune,MIT STEEL,India
,Gurgaon,MM Traders,India
,Gurgaon,MODERN MATERIAL ENGINEERING COMPANY,India
,Bawal,MOHAN -CONT_x000D_,India
,New Delhi,MOHAN LAL & SONS,India
,Bawal,MOHAN RAM TRANSPORT CO.,India
,Bawal,MOHIT SHARMA,India
,Bawal,MOHIT THAKUR_x000D_,India
,Bawal,MOHIT-CONT_x000D_,India
,Bawal,MONU SINGH ( PAINT CONT ),India
,New Delhi,MRP Enterprises Ltd.,India
,Bawal,MS LASER WORKS,India
,Ambala,MS Motors (Ambala),India
,Jaipur,MS Motors (Jaipur),India
,Bawal,MUKESH SINHA_x000D_,India
,Bawal,MUKESH THAKUR_x000D_,India
,Bawal,MUKESH-CONT_x000D_,India
,Bawal,MUKUL DEV-CONT_x000D_,India
,Bawal,MUKUL KUMAR_x000D_,India
,Bawal,MULLA JI,India
,Bawal,MUNA GUPTA-CONT_x000D_,India
,Bawal,MUNNA KUMAR_x000D_,India
,Bawal,"MUNNA PASWAN_x000D_
 _x000D_",India
,Bawal,MUNNA SINGH-CONT_x000D_,India
,Bawal,MUNNA THAKUR_x000D_,India
,Bawal,MUNNA TRANS_x000D_,India
,Bawal,MUNNA-CONT_x000D_,India
,Bhiwadi,MW WIRETEC PVT. LTD.,India
,New Delhi,Machine Dynasty,India
,Manesar,Mahabir Crane Service,India
,Rewari,Malhotra Trading Co.,India
,Rewari,Malik Bearing House,India
,New Delhi,Manak Enterprises,India
,Rewari,Manoj Electricals,India
,New Delhi,Manoj Hardware,India
,Rewari,Mehta Fancy Cloth House,India
,Bawal,Micro Mesh India (P) Ltd.,India
,New Delhi,Micro Software Solutions Lab,India
,Bhiwadi,Micro Wiremesh Private Limited,India
,Gurgaon,Mode Refrigertion Corporation,India
,Gurgaon,Modern Business Solutions,India
,Faridabad,Modern Graphics,India
,Rewari,Mohan Paints & Hardware,India
,Bawal,Mohd. Khurshid,India
,New Delhi,Mondax Technology Pvt. Ltd.,India
,New Delhi,Motor Lamp Auto Electrical Pvt Ltd.,India
,New Delhi,Motor Sales Company,India
,Bawal,Mukesh Carpanter,India
,Bawal,Mukesh Kumar,India
,Gurgaon,Murti Electricals,India
,Bawal,Muskan Photo Studio,India
,New Delhi,N FUJI ELEVATORS COMPANY,India
,Rewari,N.K ELECTRICALS WORKS,India
,Gurgaon,N.K PROSALE PVT LTD,India
,New Delhi,N.S.I. ELECTRONICS,India
,Bawal,NAGENDER MISHR_x000D_,India
,Bawal,NAKUL-CONT_x000D_,India
,Chandigarh,NANDWANI & ASSOCIATES,India
,Gurgaon,NANNAI MAL JANKI DAS (GUR.),India
,Bawal,NARENDER SINGH,India
,Gandhinagar,NATIONAL FORENSIC SCIENCES UNIVERSITY,India
,Gurgaon,NAVEEN TEMPO SERVICE,India
,Gurgaon,NAVYUG MARKETING,India
,Bawal,NAWAL KISHOR _x000D_,India
,Gurgaon,NCR Vehicles (P) Ltd.,India
,Rewari,NEEL KAMAL MOTORS,India
,Bawal,NEERAJ KUMAR CONT,India
,Bawal,NEHA GEHLOT,India
,New Delhi,NETSYS NETWORK PVT LTD,India
,Gurgaon,NH TRADING CO.,India
,Bawal,NIKESH JOSHI HARDWARE _x000D_,India
,Bawal,NIKESH KUMAR-2_x000D_,India
,Bawal,NIKESH KUMAR_x000D_,India
,New Delhi,NIPPON INDUSTRIES,India
,New Delhi,NIS MARKETING PVT. LTD.,India
,Bawal,NISHA ENGINEERING WORKS,India
,Chennai,NRS Solutions A Co.,India
,New Delhi,NRS WELDING TECHNOLOGIES,India
,New Delhi,Nabha Advertising & Marketing,India
,Bawal,Nanak Sanitary Ware,India
,Bawal,Nand Lal Cont.,India
,Rewari,Narender Kumar Vinay Sheel,India
,Gurgaon,National Glass House,India
,New Delhi,National Hardware Syndicate,India
,New Delhi,National Traders,India
,New Delhi,Nav Bharat Trading Corpn,India
,Faridabad,Naveen Steels,India
,Gurgaon,Navkar Iron Store,India
,Gurgaon,Navyug Enterprises,India
,Gurgaon,Neelam Steel Corporation,India
,Jaipur,Neha Sales Corporation,India
,Gurgaon,New Bharat Furniture Works,India
,Bawal,New Chauhan Transport Company,India
,Bawal,Nimbal Enterprises,India
,Gurgaon,Nirmal Industrial Products,India
,New Delhi,Nupur Enterprises,India
,Gurgaon,OM LOGISTICS LTD - HARYANA,India
,Pune,OM LOGISTICS LTD- PUNE,India
,New Delhi,OM SAI CABLETRONICS,India
,Gurgaon,OPTIMUS TECH SOLUTIONS PRIVATE LIMITED,India
,New Delhi,Oberoi Enterprises,India
,New Delhi,Om Electric Corporation,India
,New Delhi,Om Enterprises- Delhi,India
,Panipat,Om Tex Engineering,India
,New Delhi,Om Trading Co.,India
,Manesar,Om Trading Company,India
,Gurgaon,OmTulsi Electricals,India
,New Delhi,Omco Tools,India
,Rewari,Onkar Interior,India
,Chennai,Orient Impex,India
,Faridabad,Oto Industries,India
,New Delhi,P. Chander Bhan Krishan Lal & Sons,India
,Faridabad,P.P. ENTERPRISES  NEW,India
,Faridabad,P.P. Enterprises,India
,Rewari,P.S. Jain Enterprises,India
,Gurgaon,PAHUJA AIRCON PVT. LTD. ( NEW ),India
,Rewari,PAL SVAM POWER SOLUTIONS PVT LTD,India
,Gurgaon,PALAK COURIER SERVICES ( NEW ),India
,New Delhi,PANKAJ JAIN- CONSULTANT,India
,Bawal,PARAM NARANG_x000D_,India
,New Delhi,PARKASH & CO,India
,Bawal,PARMOD  SINGH- CONT_x000D_,India
,Bawal,PARMOD  TIWARI- CONT_x000D_,India
,Bawal,PARVINDER SHARMA_x000D_,India
,Gurgaon,PASCO MOTOR LLP,India
,Bawal,PAWAN KUMAR ( CONT ),India
,Gurgaon,PEARL BATH AND TILES,India
,Gurgaon,PERFECT ALL SOLUTIONS,India
,New Delhi,PERFECT PLASTIC INDIA,India
,New Delhi,PERFORMANCE CARS PVT LTD,India
,New Delhi,PIYUSH TRADING CO.,India
,Dharuhera,PMI Coaches Pvt. Lt.,India
,Manesar,POOJA DISPLAY SIGNAGE,India
,Ahmedabad,PPG ASIAN  PAINTS PVT. LTD. - GUJRAT,India
,New Delhi,PPG ASIAN PAINTS PVT. LTD - DELHI,India
,Pune,PPG ASIAN PAINTS PVT. LTD - MAHARASHTRA,India
,Mohali,PPG ASIAN PAINTS PVT. LTD - PUNJAB,India
,Gurgaon,PPG Asian Paints Pvt. Ltd. (HARYANA),India
,Bawal,PRABHAKAR MISHRA_x000D_,India
,Mumbai,PRATEEK EXPLOSIONPROOF PVT LTD,India
,New Delhi,PREET & SONS,India
,Bawal,PREETI,India
,New Delhi,PREMIUM DIGITAL ADS,India
,Gurgaon,PREMIUM LIFESTYLE AND FASHION INDIA PVT LTD,India
,New Delhi,PRINTING POINT,India
,Noida,PRUDENT DEVICES,India
,Gurgaon,PS Engineering Works,India
,Bawal,PUNU MISHRA_x000D_,India
,Bawal,PYARELAL STORE_x000D_,India
,Ambala,Pacific Auto India,India
,Gurgaon,Pahuja Aircon,India
,New Delhi,Palson Auto Traders,India
,Rewari,Pankaj Engineering,India
,Bawal,Parvati Cement & Marble Store,India
,Ambala,Pasco Motors,India
,New Delhi,Pavitra Enterprises,India
,Jaipur,Perfect Industries,India
,Pune,Pinnacle Industries Ltd.,India
,Gurgaon,Pioneer Hardware Products Pvt. Ltd.,India
,New Delhi,Pipe Linkers,India
,New Delhi,Poddar Interiors,India
,Jamshedpur,Polycab Premiers (P) Ltd.,India
,Bawal,Posco India Delhi Steel Processing Centre (P) Ltd.,India
,Pune,Power Electronics,India
,New Delhi,Power Sales,India
,Gurgaon,Power Sales & Services,India
,New Delhi,Prabhati Lal & Sons,India
,New Delhi,Prabind Kumar Sharma,India
